Title,Series,Volume,Author,Language,Fiction/Non,Genre,Pgs,Publication_date,year_read
The Two Princesses of Bamarre,0,0,Gail Carson Levine,English,Fiction,Young Adult,241,0,0
The Two Towers,Lord of the Rings,3, J.R.R Tolkien ,English,Fiction,Science Fiction,402,0,2012
The Undead Pool,The Hollows,12,Kim Harrison,English,Fiction,Fantasy,423,0,0
The Unnatural Inquirer,Nightside,8,Simon R. Green,English,Fiction,Fantasy,246,0,0
The Vacationers,0,0,Emma Straub,English,Fiction,Fiction ,292,0,2014
The Vagina Monologues,0,0,Eve Ensler,English,Non-Fiction,Essays,166,0,2011
The Vampire Assistant,Cirque Du Freak,2,Darren Shan,English,Fiction,Young Adult,241,0,0
The Vampire Prince,Cirque Du Freak,6,Darren Shan,English,Fiction,Young Adult,197,0,0
The Vampire Who Loved Me,0,0,Teresa Medeiros,English,Fiction,Paranormal Romance,373,0,0
The War of Art,0,0,Steven Pressfield,English,Non-Fiction,Psychology,165,0,2012
The Waste Lands,Dark Tower,3,Stephen King,English,Fiction,Science Fiction,588,0,0
The Weed That Strings the Hangman's Bag,Flavia de Luce Mystery,2,Alan Bradley,English,Fiction,Mystery,358,2010,0
The Well of Lost Plots,Thursday Next,3,Jasper Fforde,English,Fiction,Fantasy,373,0,2011
The WhiteTiger,0,0,Aravind Adiga,English,Fiction,Contemporary,276,2008,2011
The Wish List,0,0,Eoin Colfer,English,Fiction,Young Adult,252,0,0
The Witch With No Name ,The Hollows,13,Kim Harrison,English,Fiction,Fantasy,462,0,2016
The Wives of Los Alamos,0,0,TaraShea Nesbit,English,Non-Fiction,Historical Fiction,240,0,2015
The Wizards Dilemma,Young Wizards,5,Diane Duane,English,Fiction,Young Adult,403,0,0
The Woman Who Died A Lot,Thursday Next,7,Jasper Fforde,English,Fiction,Fantasy,366,0,2013
The Year of the Secret Assignments,0,0,Jaclyn Moriarty,English,Fiction,Young Adult,340,0,0
Then He Ate My Boy Entrancers,Georgia Nicolson,6,Louise Renninson,English,Fiction,Young Adult,300,0,0
There's Something About Christmas,0,0,Debbie Macomber,English,Fiction,Chick Lit,284,0,0
Thirsty ,0,0,M.T. Anderson,English,Fiction,Young Adult,249,1997,0
This Lullaby,0,0,Sarah Dessen,English,Fiction,Young Adult,345,0,0
This Sorrowful Life,The Walking Dead,6,Robert Kirkman,English,Fiction,Graphic Novel,144,0,2012
Thwonk,0,0,Joan Bauer,English,Fiction,Young Adult,215,1995,0
Tiny Ladies in Shiny Pants,0,0,Jill Soloway,English,Fiction,Biography,248,0,0
Tithe,0,0,Holly Black,English,Fiction,Young Adult,331,2002,0
Too Like the Lightning ,Terra Ignota,0, Ada Palmer,English,Fiction,Science Fiction,432,0,2017
Tortilla Flat,0,0, John Steinbeck ,English,Fiction,Classic,256,0,2011
Totally Joe,0,0,James Howe,English,Fiction,Young Adult,189,0,0
Touch of Darkness,Darkness Chosen,2,Christina Dodd,English,Fiction,Paranormal Romance,378,0,0
Tratado de Medicina Natural para Hombres Melancólicos,0,0,Mayra Santos-Febres,Spanish,Fiction,Essays,124,0,2011
Trials of Death,Cirque Du Freak,5,Darren Shan,English,Fiction,Young Adult,207,0,0
Trickster' Queen,Tricksters,2,Tamora Pierce,English,Fiction,Young Adult,444,0,0
Trickster's Choice,Tricksters,1,Tamora Pierce,English,Fiction,Young Adult,403,0,0
Tristán e Iseo,0,0,Anónimo,Spanish,Fiction,Classic,233,0,2012
Trouble In High Heels,0,0,Christina Dodd,English,Fiction,Thriller,381,0,0
True Teamwork,Tuned In,3,Julia DeVillers,English,Fiction,Young Adult,139,0,0
Truly Madly Yours,0,0,Rachel Gibson,English,Fiction,Romance,372,0,0
ttfn,ttyl,2,Lauren Myracle,English,Fiction,Young Adult,229,0,0
ttyl,ttyl,1,Lauren Myracle,English,Fiction,Young Adult,209,0,0
Tunnels of Blood,Cirque Du Freak,3,Darren Shan,English,Fiction,Young Adult,224,0,0
Twilight,Twilight,1,Stephenie Meyer,English,Fiction,Young Adult,498,0,0
Twilight,The Mediator,6,Meg Cabot,English,Fiction,Young Adult,245,0,0
Unbridled Rage,0,0,Gene O'Shea,English,Fiction,True Crime,321,0,0
Undead and Unappreciated,Betsy The Vampire Queen,3,Mary Janice Davidson,English,Fiction,Paranormal Romance,271,0,0
Undead and Uneasy,Betsy The Vampire Queen,6,Mary Janice Davidson,English,Fiction,Paranormal Romance,258,0,0
Undead and Unemployed,Betsy The Vampire Queen,2,Mary Janice Davidson,English,Fiction,Paranormal Romance,272,0,0
Undead and Unpopular,Betsy The Vampire Queen,5,Mary Janice Davidson,English,Fiction,Paranormal Romance,269,0,0
Undead and Unreturnable,Betsy The Vampire Queen,4,Mary Janice Davidson,English,Fiction,Paranormal Romance,250,0,0
Undead and Unwed,Betsy The Vampire Queen,1,Mary Janice Davidson,English,Fiction,Paranormal Romance,255,0,0
Under the Banner of Heaven,0,0,Jon Krakauer,English,Non-Fiction,True Crime,399,0,2015
Under the Dome,0,0,Stephen King,English,Fiction,Horror,1072,0,0
Underground,0,0, Haruki Murakami ,English,Fiction,True Crime,366,0,2012
Unholy Messenger: The Life and Crimes of the BTK Serial Killer,0,0,Stephen Singular,English,Non-Fiction,True Crime,287,0,0
Unleash the Night,Dark Hunter,9,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,334,0,0
Upon The Midnight Clear,Dark Hunter,13,Sherrilyn Kenyon,English,Fiction,Paranormal Romance,248,0,0
Vampire Kisses,Vampire Kisses,1,Ellen Schreiber,English,Fiction,Young Adult,197,0,0
Vampire Mountain,Cirque Du Freak,4,Darren Shan,English,Fiction,Young Adult,195,0,0
"Vampire, Interrupted",Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,370,0,0
Vampires Are Forever,Argeneu Novel,0,Lynsay Sands,English,Fiction,Paranormal Romance,361,0,0
Vampireville,Vampire Kisses,3,Ellen Schreiber,English,Fiction,Young Adult,176,0,0
Vegan Virgin Valentine,0,0,Carolyn Mackler,English,Fiction,Fiction,228,0,0
Vejigantes,0,0,Francisco Arriví,Spanish,Fiction,Drama,126,1973,0
Velocity,0,0,Dean Koontz,English,Fiction,Thriller,397,0,0
Venus in Furs,0,0,Leopold von Sacher Masoch,English,Fiction,Classic,160,0,2013
Veronika decide morir,0,0,Paulo Coelho,Spanish,Fiction,Contemporary,221,0,0
Violet & Claire,0,0,Francesca Lia Block,English,Fiction,Young Adult,169,1999,0
Vision Quest,0,0,Terry Davis,English,Fiction,Young Adult,239,0,0
Vivir del cuento,0,0,Shara Lávender,Spanish,Fiction,Short stories,137,0,0
Wailing Ghosts,0,0, Pu Songling,English,Fiction,Horror,0,0,2015
Waking Gods ,Themis Files,2, Sylvain Neuvel,English,Fiction,Science Fiction,336,0,2017
Warm Bodies,0,0, Isaac Marion ,English,Fiction,Science Fiction,256,0,2013
Water For Elephants,0,0,Sara Gruen,English,Fiction,Contemporary,331,0,0
Watermelon,0,0,Marian Keyes,English,Fiction,Chick Lit,417,0,0
Ways To Be Wicked ,0,0,Julie Anne Long,English,Fiction,Historical Romance,350,0,0
We Thought You Would Be Prettier,0,0,Laurie Notaro,English,Non-Fiction,Biography,220,0,0
What I'd Say To The Martians,0,0,Jack Handey,English,Non-Fiction,Essays,170,0,0
What Men Want,0,0,Deborah Blumenthal,English,Fiction,Fiction,296,2006,0
What We See When We Read,0,0,Peter Mendelsund,English,Non-Fiction,Psychology,425,0,2014
"White Witch, Black Curse",The Hollows,7,Kim Harrison,English,Fiction,Fantasy,549,0,2016
Who's Afraid Of Virginia Woolf?,0,0,Edward Albee,English,Fiction,Drama,257,1962,0
Wicked:The Life And Times Of The Wicked Witch Of The West,0,0,Gregory Maguire,English,Fiction,Contemporary,406,0,0
Wife For A Day,0,0,Patti Berg,English,Fiction,Romance,376,1999,0
With or Without You,0,0,Carole Matthews,English,Fiction,Romance,380,0,0
Wizard and Glass,Dark Tower,4,Stephen King,English,Fiction,Science Fiction,694,0,0
Wizards Holiday,Young Wizards,7,Diane Duane,English,Fiction,Young Adult,416,0,0
Wolf Queen,The Claidi Journals,3,Tanith Lee,English,Fiction,Young Adult,216,0,0
Wolf Star,The Claidi Journals,2,Tanith Lee,English,Fiction,Young Adult,232,0,0
Wolf Tower,The Claidi Journals,1,Tanith Lee,English,Fiction,Young Adult,223,0,0
Wolf Wing,The Claidi Journals,4,Tanith Lee,English,Fiction,Young Adult,229,0,0
Wolves and the Calla,Dark Tower,5,Stephen King,English,Fiction,Science Fiction,924,0,0
World War Z,0,0, Max Brooks,English,Fiction,Horror,342,0,2013
Would I Lie To You,Gossip Girl,10,Cecily von Ziegesar,English,Fiction,Young Adult,192,0,0
Writing ,0,0, Marguerite Duras,English,Non-Fiction,Writing,91,0,2015
Wuthering Heights,0,0,Emily Brontë,English,Fiction,Classic,344,1847,0
Y: The Last Man - Deluxe Edition #1-#2,Y: The Last Man,1, Brian K. Vaughan,English,Fiction,Graphic Novel,256,0,2012
Y: The Last Man - Deluxe Edition #3-#4,Y: The Last Man,2, Brian K. Vaughan,English,Fiction,Graphic Novel,320,0,2012
Y: The Last Man - Deluxe Edition #5-#6,Y: The Last Man,3, Brian K. Vaughan,English,Fiction,Graphic Novel,320,0,2013
Y: The Last Man - Deluxe Edition #7-#8,Y: The Last Man,4, Brian K. Vaughan,English,Fiction,Graphic Novel,296,0,2013
Yo maté a Sherezade,0,0,Joumana Haddad,Spanish,Non-Fiction,Biography,142,0,2012
You Know You Love Me,Gossip Girl,2,Cecily von Ziegesar,English,Fiction,Young Adult,225,0,0
You Slay Me,Green Dragons novel,1,Katie MacAlister,English,Fiction,Paranormal Romance,334,0,0
You Suck,A Love Story,2,Christopher Moore,English,Fiction,Fantasy,328,0,0
"You, Maybe",0,0,Rachel Vail,English,Fiction,Young Adult,199,0,0
You're the One That I Want,Gossip Girl,6,Cecily von Ziegesar,English,Fiction,Young Adult,227,0,0
Your Coffin Or Mine?,Vampire Love,3,Kimberly Raye,English,Fiction,Paranormal Romance,306,0,0
